"model_name","p","d","q","parameter_count","AIC","LjungBox_p","RMSE","MAE","has_warning","warning_text"
"tlb_m13_ARIMA_10_1_0",10,1,0,10,989.045693493319,0.00138049125321416,7444.44213618756,6175.60286230802,FALSE,""
"tlb_m98_ARIMA_16_2_1",16,2,1,17,957.788297280002,0.0567929979082241,7470.92576005033,6158.91956193195,FALSE,""
"tlb_m103_ARIMA_17_2_2",17,2,2,19,961.78828771999,0.00607790830426624,7472.77908045915,6160.60561173045,FALSE,""
"tlb_m89_ARIMA_14_2_1",14,2,1,15,962.780444062442,0.0193223407945691,7476.52904784119,6154.9641457408,FALSE,""
"tlb_m3_ARIMA_8_1_2",8,1,2,10,982.480431958343,0.00610149781456271,7516.73779165315,6385.20425586827,FALSE,""
"tlb_m29_ARIMA_13_1_0",13,1,0,13,976.610283763134,0.03842662109382,7579.29792784296,6219.44308846559,FALSE,""
"tlb_m37_ARIMA_14_1_2",14,1,2,16,973.209227835681,0.0170391000779412,7707.76821993506,6310.33553110991,FALSE,""
"tlb_m71_ARIMA_11_2_1",11,2,1,12,963.035803286404,0.0903570549165352,7719.20188440751,5976.26173475489,FALSE,""
"tlb_m91_ARIMA_14_2_3",14,2,3,17,958.688421586421,0.0208172785931542,8028.06334276913,6447.50280762478,FALSE,""
"tlb_m34_ARIMA_13_1_5",13,1,5,18,971.193380055377,0.0140171384839255,8077.86961741689,6635.79606359813,TRUE,"possible convergence problem: optim gave code = 1"
"tlb_m40_ARIMA_14_1_5",14,1,5,19,971.299077153577,0.0119519230683539,8090.41759961372,6705.39117425061,FALSE,""
"tlb_m69_ARIMA_10_2_5",10,2,5,15,965.857888303599,0.0200590445303965,8103.17896203102,6299.62527673921,FALSE,""
"tlb_m90_ARIMA_14_2_2",14,2,2,16,961.943337536017,0.0301269118506887,8145.13549062267,6907.70108933892,FALSE,""
"tlb_m50_ARIMA_17_1_2",17,1,2,19,974.698644747453,0.0136734955494534,8211.60797426182,6728.51552128824,TRUE,"possible convergence problem: optim gave code = 1"
"tlb_m85_ARIMA_13_2_3",13,2,3,16,959.430555754602,0.0160078394467977,8255.87129124661,6626.79323086259,TRUE,"NaNs produced | NaNs produced"
"tlb_m22_ARIMA_11_1_4",11,1,4,15,978.715510263148,0.00267014783608377,8264.44125384205,6952.43554383772,FALSE,""
"tlb_m84_ARIMA_13_2_2",13,2,2,15,957.438925258111,0.0334776923432628,8319.95831363239,6674.4879546201,FALSE,""
"tlb_m31_ARIMA_13_1_2",13,1,2,15,973.01239217205,0.123556721077752,8336.52141087528,6770.51993230279,FALSE,""
"tlb_m19_ARIMA_11_1_0",11,1,0,11,985.773601500505,0.000434807730987696,8398.67359363007,7457.94333060983,FALSE,""
"tlb_m80_ARIMA_12_2_4",12,2,4,16,959.401865921993,0.0615960578751713,8459.43982352312,6688.59156605305,FALSE,""
"tlb_m33_ARIMA_13_1_4",13,1,4,17,971.751464903012,0.0481069165978122,8500.54121190067,6932.94472635752,TRUE,"possible convergence problem: optim gave code = 1"
"tlb_m44_ARIMA_15_1_3",15,1,3,18,972.767112520072,0.0553225060394743,8532.24891662075,6983.22921428125,FALSE,""
"tlb_m48_ARIMA_16_1_2",16,1,2,18,974.157045414242,0.0410595913439438,8565.30324233671,7062.9002152435,FALSE,""
"tlb_m52_ARIMA_18_1_1",18,1,1,19,976.160436507914,0.0114245705794001,8682.68735956049,7146.57401607274,FALSE,""
"tlb_m51_ARIMA_18_1_0",18,1,0,18,974.160465524441,0.0407964071684443,8686.68121501941,7149.82529832204,FALSE,""
"tlb_m81_ARIMA_12_2_5",12,2,5,17,961.315545919624,0.0276175516428129,8711.00517925703,6888.06354707344,TRUE,"possible convergence problem: optim gave code = 1"
"tlb_m45_ARIMA_15_1_4",15,1,4,19,974.757014332335,0.0155575820660687,8748.58324423527,7188.19977890532,TRUE,"possible convergence problem: optim gave code = 1"
"tlb_m47_ARIMA_16_1_1",16,1,1,17,972.200490307354,0.0892555873439866,8815.9746723944,7258.13242767185,FALSE,""
"tlb_m6_ARIMA_8_1_5",8,1,5,13,981.273094537769,0.000218151300031888,8818.09293568569,7429.10126339466,TRUE,"NaNs produced"
"tlb_m49_ARIMA_17_1_0",17,1,0,17,972.208181260134,0.0886422417802698,8865.529728974,7299.61373151894,FALSE,""
"tlb_m32_ARIMA_13_1_3",13,1,3,16,973.226625542315,0.0496994821416734,8901.24542571604,7415.45827186671,TRUE,"possible convergence problem: optim gave code = 1"
"tlb_m4_ARIMA_8_1_3",8,1,3,11,983.287343876506,0.000584817816894789,8945.58785243344,7479.05374405389,TRUE,"NaNs produced | NaNs produced"
"tlb_m46_ARIMA_16_1_0",16,1,0,16,970.232142286452,0.161583930498288,8961.74957166126,7381.52515909884,FALSE,""
"tlb_m16_ARIMA_10_1_3",10,1,3,13,984.151640925884,0.00193668239083644,8974.94859553484,7811.07007324584,FALSE,""
"tlb_m35_ARIMA_14_1_0",14,1,0,14,975.327188009413,0.037772222056152,9112.09443913978,7592.13071174036,FALSE,""
"tlb_m12_ARIMA_9_1_5",9,1,5,14,982.33795950165,0.000173657389553772,9217.30141516818,7693.25111854963,FALSE,""
"tlb_m21_ARIMA_11_1_3",11,1,3,14,979.985990382252,0.00305961251448683,9302.70678123408,7994.51458552876,FALSE,""
"tlb_m39_ARIMA_14_1_4",14,1,4,18,973.152716748209,0.0514566873828184,9367.25343045317,7733.11998266644,TRUE,"possible convergence problem: optim gave code = 1"
"tlb_m43_ARIMA_15_1_2",15,1,2,17,972.565435611568,0.0639555671630966,9469.17639011593,7849.42864576897,FALSE,""
"tlb_m68_ARIMA_10_2_3",10,2,3,13,965.746807626866,0.0198834026447448,9509.14831288906,7641.30616379675,FALSE,""
"tlb_m17_ARIMA_10_1_4",10,1,4,14,981.169509119071,0.00160935571252974,9740.83429400459,8432.37976201608,FALSE,""
"tlb_m18_ARIMA_10_1_5",10,1,5,15,983.060415093497,0.000844093608523111,9765.42609958605,8455.43492092302,FALSE,""
"tlb_m76_ARIMA_12_2_0",12,2,0,12,961.851205402013,0.0766544169159632,9768.76523616827,7658.0311364954,FALSE,""
"tlb_m42_ARIMA_15_1_1",15,1,1,16,971.05992544517,0.126247133708637,9821.88235413599,8204.67726713327,FALSE,""
"tlb_m30_ARIMA_13_1_1",13,1,1,14,974.565148255237,0.0557594284213813,10028.0343316051,8466.85399016376,FALSE,""
"tlb_m36_ARIMA_14_1_1",14,1,1,15,975.623899141975,0.0387469838942811,10143.0117280505,8563.95177847441,FALSE,""
"tlb_m66_ARIMA_10_2_1",10,2,1,11,962.26809218704,0.0258402432987618,10277.0175528115,8365.40103266966,FALSE,""
"tlb_m53_ARIMA_8_2_0",8,2,0,8,970.502157650395,0.00498127038113738,10446.9410104854,8629.05588809764,FALSE,""
"tlb_m55_ARIMA_8_2_2",8,2,2,10,974.527437021582,0.00159013219535542,10492.0149452064,8673.53649022967,FALSE,""
"tlb_m58_ARIMA_8_2_5",8,2,5,13,973.513892727372,0.000334581684099389,10523.9681841371,8755.57043999305,FALSE,""
"tlb_m54_ARIMA_8_2_1",8,2,1,9,972.484275659621,0.00286478166823867,10535.6261290737,8716.06033233268,FALSE,""
"tlb_m57_ARIMA_8_2_4",8,2,4,12,971.530767054035,0.000714900440097033,10613.706889398,8839.86499581455,FALSE,""
"tlb_m41_ARIMA_15_1_0",15,1,0,15,971.673196687955,0.0743770769162401,10631.9599340029,9038.61329160676,FALSE,""
"tlb_m14_ARIMA_10_1_1",10,1,1,11,987.883232596953,0.000371074983439801,10678.8909580119,9508.72477554059,FALSE,""
"tlb_m59_ARIMA_9_2_0",9,2,0,9,972.439678351946,0.0027553005729275,10794.7897704088,8968.4133808103,FALSE,""
"tlb_m67_ARIMA_10_2_2",10,2,2,12,965.037496067529,0.0078728782803148,10878.1447186625,8918.08040944642,FALSE,""
"tlb_m77_ARIMA_12_2_1",12,2,1,13,963.033202032818,0.0498378266105497,11317.4010812004,8916.20375363081,FALSE,""
"tlb_m82_ARIMA_13_2_0",13,2,0,13,962.833575072818,0.0461543247580817,11416.4415685784,8986.76123560185,FALSE,""
"tlb_m78_ARIMA_12_2_2",12,2,2,14,964.869936597281,0.0281582970646514,11589.9513970027,9133.94770313192,FALSE,""
"tlb_m83_ARIMA_13_2_1",13,2,1,14,964.743204345326,0.0268049710065268,11698.2439069226,9216.5408345772,FALSE,""
"tlb_m75_ARIMA_11_2_5",11,2,5,16,965.455550409734,0.00178290485172405,11760.9238640194,9992.32918361949,FALSE,""
"tlb_m88_ARIMA_14_2_0",14,2,0,14,964.244147792642,0.0260909260140308,12668.7316155183,10006.9978984072,FALSE,""
"tlb_m87_ARIMA_13_2_5",13,2,5,18,958.814824958576,0.0588253400495059,12922.1188943682,10925.3179364947,FALSE,""
"tlb_m60_ARIMA_9_2_1",9,2,1,10,974.006823251582,0.00161997078911946,12941.3285484522,10912.479392991,FALSE,""
"tlb_m61_ARIMA_9_2_2",9,2,2,11,975.850516853365,0.000917650565654626,13211.7232598562,11168.7791238209,FALSE,""
"tlb_m65_ARIMA_10_2_0",10,2,0,10,971.152632500306,0.00207902420604822,14268.5705791643,12118.7891217442,FALSE,""
