"model_name","model","p","d","q","P","D","Q","period","parameter_count","AIC","LjungBox_p","RMSE","MAE","has_warning","warning_text"
"tlb_s230_SARIMA_0_2_0_2_0_2_12","SARIMA(0,2,0)(2,0,2)[12]",0,2,0,2,0,2,12,4,976.151280163,0.00576338295008649,8735.37174383517,7062.46541636608,FALSE,""
"tlb_s219_SARIMA_0_2_0_0_0_2_12","SARIMA(0,2,0)(0,0,2)[12]",0,2,0,0,0,2,12,2,974.046604941067,0.0103095805008605,8750.6665687937,6736.40843336252,FALSE,""
"tlb_s222_SARIMA_0_2_0_1_0_0_12","SARIMA(0,2,0)(1,0,0)[12]",0,2,0,1,0,0,12,1,972.836975789193,0.0321474068165465,8824.41369767609,6616.01161765682,FALSE,""
"tlb_s269_SARIMA_0_2_2_2_1_2_12","SARIMA(0,2,2)(2,1,2)[12]",0,2,2,2,1,2,12,6,744.972155021266,0.052479011966748,8963.4565128828,6483.73832577495,FALSE,""
"tlb_s361_SARIMA_2_2_0_2_0_1_12","SARIMA(2,2,0)(2,0,1)[12]",2,2,0,2,0,1,12,5,964.291742296335,0.00245963716341968,8974.65175715072,6731.07824135405,FALSE,""
"tlb_s297_SARIMA_1_2_0_1_1_2_12","SARIMA(1,2,0)(1,1,2)[12]",1,2,0,1,1,2,12,4,750.362244038319,0.0680746097070209,8996.79636913271,6658.87727611504,FALSE,""
"tlb_s294_SARIMA_1_2_0_1_0_2_12","SARIMA(1,2,0)(1,0,2)[12]",1,2,0,1,0,2,12,4,968.530795025094,0.0173238839624054,9314.18616223733,7069.45078408948,FALSE,""
"tlb_s224_SARIMA_0_2_0_1_0_2_12","SARIMA(0,2,0)(1,0,2)[12]",0,2,0,1,0,2,12,3,976.034596820397,0.00659466498444738,9719.65639125684,7524.67745531377,FALSE,""
"tlb_s249_SARIMA_0_2_1_2_1_0_12","SARIMA(0,2,1)(2,1,0)[12]",0,2,1,2,1,0,12,3,743.066389493495,0.535604719382206,9851.71200829353,7209.65379486047,FALSE,""
"tlb_s250_SARIMA_0_2_1_2_1_1_12","SARIMA(0,2,1)(2,1,1)[12]",0,2,1,2,1,1,12,4,744.540334390129,0.402307954654532,9854.25785020389,7205.84297779943,FALSE,""
